species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Paphies australis,Clams cockles arkshells,56,1136.7292,NA,NA,NA,NA,NA,NA,NA
Paracentrotus lividus,Seacucumbers Echinoderms starfish nei,76,380.35153,NA,NA,NA,NA,NA,NA,NA
Parachaenichthys georgianus,Misc Finfishes,39,0.00838,NA,Parachaenichthys,NA,Bathydraconidae,Perciformes,Actinopterygii,Osteichthyes
Paralabrax humeralis,Redfishes basses congers,33,7352.67749,NA,Paralabrax,Serraninae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Paralichthys,Flounders halibuts soles,31,6785.14142,NA,NA,NA,NA,NA,NA,NA
Paralichthys californicus,Flounders halibuts soles,31,266.95602,NA,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Paralichthys dentatus,Flounders halibuts soles,31,2003.30988,NA,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Paralichthys olivaceus,Flounders halibuts soles,31,13280.94941,NA,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Paralithodes,Craylets squat lobsters,44,2.11299,NA,NA,NA,NA,NA,NA,NA
Paralithodes brevipes,Craylets squat lobsters,44,1474.50958,NA,NA,NA,NA,NA,NA,NA
Paralithodes camtschaticus,Craylets squat lobsters,44,30053.68281,NA,NA,NA,NA,NA,NA,NA
Paralithodes platypus,Craylets squat lobsters,44,8989.67452,NA,NA,NA,NA,NA,NA,NA
Paralomis,Craylets squat lobsters,44,3.77839,NA,NA,NA,NA,NA,NA,NA
Paralomis aculeata,Craylets squat lobsters,44,0,NA,NA,NA,NA,NA,NA,NA
Paralomis formosa,Sea-spiders crabs,42,0.00107,NA,NA,NA,NA,NA,NA,NA
Paralomis granulosa,Craylets squat lobsters,44,7803.52892,NA,NA,NA,NA,NA,NA,NA
Paralomis spinosissima,Craylets squat lobsters,44,0.04267,NA,NA,NA,NA,NA,NA,NA
Paralonchurus peruanus,Redfishes basses congers,33,1695.10585,NA,Paralonchurus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Parapenaeopsis,Shrimps prawns,45,20325.17529,NA,NA,NA,NA,NA,NA,NA
Parapenaeopsis atlantica,Shrimps prawns,45,175.46625,NA,NA,NA,NA,NA,NA,NA
Parapenaeus longirostris,Shrimps prawns,45,42299.97259,NA,NA,NA,NA,NA,NA,NA
Parapercis colias,Misc Finfishes,39,2169.81081,NA,Parapercis,NA,Pinguipedidae,Perciformes,Actinopterygii,Osteichthyes
Parapristipoma octolineatum,Redfishes basses congers,33,7.78161,NA,Parapristipoma,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Parastromateus niger,Mackerels snoeks cutlassfishes,37,251380.31737,Turbot,Parastromateus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Paristiopterus labiosus,Misc Finfishes,39,3.00972,NA,Paristiopterus,Histiopterinae,Pentacerotidae,Perciformes,Actinopterygii,Osteichthyes
Parona signata,Mackerels snoeks cutlassfishes,37,553.00915,NA,Parona,Scomberoidinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Parophrys vetulus,Flounders halibuts soles,31,210.39232,NA,Parophrys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Patagonotothen brevicauda brevicauda,Redfishes basses congers,33,27.39564,NA,Patagonotothen,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Patagonotothen ramsayi,Redfishes basses congers,33,22895.48332,NA,Patagonotothen,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Patella,Abalones winkles conchs,52,2.83892,NA,NA,NA,NA,NA,NA,NA
Pecten jacobaeus,Scallops pectens,55,0.95597,NA,NA,NA,NA,NA,NA,NA
Pecten maximus,Scallops pectens,55,58923.43937,NA,NA,NA,NA,NA,NA,NA
Pecten novaezelandiae,Scallops pectens,55,322.78911,NA,NA,NA,NA,NA,NA,NA
Pecten yessoensis,Scallops pectens,55,505410.8664,NA,NA,NA,NA,NA,NA,NA
Pectinidae,Scallops pectens,55,31754.94717,NA,NA,NA,NA,NA,NA,NA
Pegusa lascaris,Flounders halibuts soles,31,352.18661,NA,Pegusa,NA,Soleidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Pelates quadrilineatus,Redfishes basses congers,33,13.20651,NA,Pelates,NA,Terapontidae,Perciformes,Actinopterygii,Osteichthyes
Pellona ditchela,Herrings sardines anchovies,35,26728.18664,NA,Pellona,NA,Pristigasteridae,Clupeiformes,Actinopterygii,Osteichthyes
Penaeidae,Shrimps prawns,45,9635.49657,NA,NA,NA,NA,NA,NA,NA
Penaeus,Shrimps prawns,45,138686.68127,NA,NA,NA,NA,NA,NA,NA
Penaeus monodon,Shrimps prawns,45,351584.56644,NA,NA,NA,NA,NA,NA,NA
Penaeus penicillatus,Shrimps prawns,45,93.2355,NA,NA,NA,NA,NA,NA,NA
Penaeus semisulcatus,Shrimps prawns,45,19224.05496,NA,NA,NA,NA,NA,NA,NA
Pennahia argentata,Redfishes basses congers,33,99252.65412,NA,Pennahia,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pentaceros decacanthus,Misc Finfishes,39,5.01574,NA,Pentaceros,Pentacerotinae,Pentacerotidae,Perciformes,Actinopterygii,Osteichthyes
Pentanemus quinquarius,Redfishes basses congers,33,2965.5852999999997,NA,Pentanemus,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Peprilus paru,Mackerels snoeks cutlassfishes,37,192.40118,NA,Peprilus,NA,Stromateidae,Perciformes,Actinopterygii,Osteichthyes
Peprilus triacanthus,Mackerels snoeks cutlassfishes,37,3912.15795,NA,Peprilus,NA,Stromateidae,Perciformes,Actinopterygii,Osteichthyes
Perciformes,Redfishes basses congers,33,137143.4857,NA,NA,NA,NA,NA,NA,NA
Percophis brasiliensis,Misc Finfishes,39,7667.65216,NA,Percophis,Percophinae,Percophidae,Perciformes,Actinopterygii,Osteichthyes
Peristediidae,Misc Finfishes,39,29474.87489,NA,NA,NA,NA,NA,NA,NA
Perna perna,Mussels,54,89.23784,NA,NA,NA,NA,NA,NA,NA
Perna viridis,Mussels,54,23387.45761,NA,NA,NA,NA,NA,NA,NA
Petromyzon marinus,Diadromous fishes nei,25,33.56877,NA,Petromyzon,Petromyzontinae,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Agnatha
Pharus legumen,Clams cockles arkshells,56,194.13135,NA,NA,NA,NA,NA,NA,NA
Phycis,Cods hakes haddocks,32,1523.83829,NA,NA,NA,NA,NA,NA,NA
Phycis blennoides,Cods hakes haddocks,32,3284.9051,NA,Phycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes
Phycis phycis,Cods hakes haddocks,32,827.43369,NA,Phycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes
Placopecten magellanicus,Scallops pectens,55,266392.50819,NA,NA,NA,NA,NA,NA,NA
Platax,Redfishes basses congers,33,2602.53216,NA,NA,NA,NA,NA,NA,NA
Platichthys flesus,Flounders halibuts soles,31,22961.3495,NA,Platichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Platichthys stellatus,Flounders halibuts soles,31,11.34433,NA,Platichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Platycephalidae,Redfishes basses congers,33,4368.23857,NA,NA,NA,NA,NA,NA,NA
Platycephalus indicus,Redfishes basses congers,33,8940.69045,NA,Platycephalus,NA,Platycephalidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Plectorhinchus gaterinus,Redfishes basses congers,33,315.7664,NA,Plectorhinchus,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Plectorhinchus mediterraneus,Redfishes basses congers,33,27799.67334,NA,Plectorhinchus,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Plectorhinchus pictus,Redfishes basses congers,33,5.69284,NA,Plectorhinchus,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Plectorhinchus schotaf,Redfishes basses congers,33,195.05944,NA,Plectorhinchus,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Plectropomus areolatus,Redfishes basses congers,33,458.89594,NA,Plectropomus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Plectropomus leopardus,Redfishes basses congers,33,152607.41524,NA,Plectropomus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Plectropomus pessuliferus,Redfishes basses congers,33,362.84809,NA,Plectropomus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Pleoticus muelleri,Shrimps prawns,45,333607.57019,NA,NA,NA,NA,NA,NA,NA
Pleoticus robustus,Shrimps prawns,45,203.28923,NA,NA,NA,NA,NA,NA,NA
Plesiopenaeus edwardsianus,Shrimps prawns,45,68.54568,NA,NA,NA,NA,NA,NA,NA
Pleuragramma antarcticum,Redfishes basses congers,33,0.42514,NA,NA,NA,NA,NA,NA,NA
Pleurogrammus azonus,Misc Finfishes,39,49614.8517,NA,Pleurogrammus,Pleurogramminae,Hexagrammidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Pleurogrammus monopterygius,Misc Finfishes,39,66100.55972,NA,Pleurogrammus,Pleurogramminae,Hexagrammidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Pleuroncodes monodon,Craylets squat lobsters,44,7197.09614,NA,NA,NA,NA,NA,NA,NA
Pleuronectes platessa,Flounders halibuts soles,31,95389.79981,NA,Pleuronectes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Pleuronectidae,Flounders halibuts soles,31,41.69195,NA,NA,NA,NA,NA,NA,NA
Pleuronectiformes,Flounders halibuts soles,31,277414.60304,NA,NA,NA,NA,NA,NA,NA
Pleuronichthys decurrens,Flounders halibuts soles,31,1.0313,Curlfin turbot,Pleuronichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Plotosus,Misc Finfishes,39,6426.54849,NA,NA,NA,NA,NA,NA,NA
Pogonias cromis,Redfishes basses congers,33,3229.61465,NA,Pogonias,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pogonophryne,Misc Finfishes,39,0.02294,NA,NA,NA,NA,NA,NA,NA
Pollachius pollachius,Cods hakes haddocks,32,13752.17676,NA,Pollachius,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Pollachius virens,Cods hakes haddocks,32,791231.46092,NA,Pollachius,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Pollicipes pollicipes,Marine crustaceans nei,47,63.09283,NA,NA,NA,NA,NA,NA,NA
Polydactylus quadrifilis,Redfishes basses congers,33,47166.84899,NA,Polydactylus,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Polynemidae,Redfishes basses congers,33,197070.50253,NA,NA,NA,NA,NA,NA,NA
Polyprion americanus,Misc Finfishes,39,1238.30395,NA,Polyprion,NA,Polyprionidae,Perciformes,Actinopterygii,Osteichthyes
Polyprion oxygeneios,Misc Finfishes,39,1448.5999,NA,Polyprion,NA,Polyprionidae,Perciformes,Actinopterygii,Osteichthyes
Pomacanthidae,Redfishes basses congers,33,59.4715,NA,NA,NA,NA,NA,NA,NA
Pomacanthus maculosus,Redfishes basses congers,33,1184.96756,NA,Pomacanthus,NA,Pomacanthidae,Perciformes,Actinopterygii,Osteichthyes
Pomadasys argenteus,Redfishes basses congers,33,5233.27777,NA,Pomadasys,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Pomadasys jubelini,Redfishes basses congers,33,15414.33489,NA,Pomadasys,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Pomadasys kaakan,Redfishes basses congers,33,21607.99584,NA,Pomadasys,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Pomadasys stridens,Redfishes basses congers,33,462.35047000000003,NA,Pomadasys,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Pomatomus saltatrix,Jacks mullets sauries,34,24688.25172,Salmon bluefish,Pomatomus,NA,Pomatomidae,Perciformes,Actinopterygii,Osteichthyes
Pontinus kuhlii,Jacks mullets sauries,34,0.10108,NA,Pontinus,Scorpaeninae,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Portunidae,Sea-spiders crabs,42,219.51945,NA,NA,NA,NA,NA,NA,NA
Portunus,Sea-spiders crabs,42,4104.54246,NA,NA,NA,NA,NA,NA,NA
Portunus pelagicus,Sea-spiders crabs,42,675519.96427,NA,NA,NA,NA,NA,NA,NA
Portunus trituberculatus,Sea-spiders crabs,42,620581.23553,NA,NA,NA,NA,NA,NA,NA
Priacanthus,Redfishes basses congers,33,696754.40756,NA,NA,NA,NA,NA,NA,NA
Priacanthus macracanthus,Redfishes basses congers,33,16631.85538,NA,Priacanthus,NA,Priacanthidae,Perciformes,Actinopterygii,Osteichthyes
Prionace glauca,Sharks rays skates etc,38,131768.69522,NA,Prionace,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Prionotus,Jacks mullets sauries,34,5497.29229,NA,NA,NA,NA,NA,NA,NA
Pristidae,Sharks rays skates etc,38,3964.22127,NA,NA,NA,NA,NA,NA,NA
Pristiophorus,Sharks rays skates etc,38,337.73654,NA,NA,NA,NA,NA,NA,NA
Prolatilus jugularis,Misc Finfishes,39,29.57167,NA,Prolatilus,NA,Pinguipedidae,Perciformes,Actinopterygii,Osteichthyes
Promethichthys prometheus,Mackerels snoeks cutlassfishes,37,16.10909,NA,Promethichthys,NA,Gempylidae,Perciformes,Actinopterygii,Osteichthyes
Protothaca thaca,Clams cockles arkshells,56,23289.835600000002,NA,NA,NA,NA,NA,NA,NA
Psenopsis anomala,Jacks mullets sauries,34,1217.36905,NA,Psenopsis,NA,Centrolophidae,Perciformes,Actinopterygii,Osteichthyes
Psetta maxima,Flounders halibuts soles,31,5693.93021,NA,NA,NA,NA,NA,NA,NA
Psettichthys melanostictus,Flounders halibuts soles,31,11.34476,NA,Psettichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Psettodes belcheri,Flounders halibuts soles,31,6.18215,Spottail spiny turbot,Psettodes,NA,Psettodidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Psettodes belcheri,Flounders halibuts soles,31,6.18215,Spottedtail turbot,Psettodes,NA,Psettodidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Psettodes erumei,Flounders halibuts soles,31,24499.7474,Indian spiny turbot,Psettodes,NA,Psettodidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Psettodes erumei,Flounders halibuts soles,31,24499.7474,Indian turbot,Psettodes,NA,Psettodidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Psettodes erumei,Flounders halibuts soles,31,24499.7474,Spiny turbot,Psettodes,NA,Psettodidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Pseudocaranx dentex,Mackerels snoeks cutlassfishes,37,4161.72402,NA,Pseudocaranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Pseudochaenichthys georgianus,Jacks mullets sauries,34,2.83081,NA,Pseudochaenichthys,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Pseudocyttus maculatus,Jacks mullets sauries,34,58.83135,NA,Pseudocyttus,Pseudocyttinae,Oreosomatidae,Zeiformes,Actinopterygii,Osteichthyes
Pseudopentaceros richardsoni,Misc Finfishes,39,46.14493,NA,NA,NA,NA,NA,NA,NA
Pseudopercis semifasciata,Misc Finfishes,39,1456.19022,NA,Pseudopercis,NA,Pinguipedidae,Perciformes,Actinopterygii,Osteichthyes
Pseudophycis bachus,Cods hakes haddocks,32,6927.16358,NA,Pseudophycis,NA,Moridae,Gadiformes,Actinopterygii,Osteichthyes
Pseudopleuronectes americanus,Flounders halibuts soles,31,1777.27883,NA,Pseudopleuronectes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Pseudopleuronectes herzensteini,Flounders halibuts soles,31,14993.70262,NA,Pseudopleuronectes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Pseudotolithus,Redfishes basses congers,33,109471.16982,NA,NA,NA,NA,NA,NA,NA
Pseudotolithus elongatus,Redfishes basses congers,33,88765.79975,NA,Pseudotolithus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pseudotolithus senegalensis,Redfishes basses congers,33,8097.70085,NA,Pseudotolithus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pseudotolithus senegallus,Redfishes basses congers,33,3510.09579,NA,Pseudotolithus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pseudupeneus prayensis,Redfishes basses congers,33,29713.51353,NA,Pseudupeneus,NA,Mullidae,Perciformes,Actinopterygii,Osteichthyes
Psilodraco breviceps,Misc Finfishes,39,0.03998,NA,Psilodraco,NA,Bathydraconidae,Perciformes,Actinopterygii,Osteichthyes
Pterogymnus laniarius,Redfishes basses congers,33,1995.31407,NA,Pterogymnus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pteroscion peli,Redfishes basses congers,33,2107.61209,NA,Pteroscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Pterygotrigla,Jacks mullets sauries,34,207.65152,NA,NA,NA,NA,NA,NA,NA
Pterygotrigla polyommata,Jacks mullets sauries,34,238.59437,NA,Pterygotrigla,Pterygotriglinae,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Pyura chilensis,Sea-squirts and other tunicates,74,2831.84641,NA,NA,NA,NA,NA,NA,NA
Rachycentron canadum,Misc Finfishes,39,51248.37461,Black salmon,Rachycentron,NA,Rachycentridae,Perciformes,Actinopterygii,Osteichthyes
Raja,Sharks rays skates etc,38,220.16577,NA,NA,NA,NA,NA,NA,NA
Raja asterias,Sharks rays skates etc,38,736.00986,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Raja brachyura,Sharks rays skates etc,38,389.9804,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Raja clavata,Sharks rays skates etc,38,2045.01559,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Raja microocellata,Sharks rays skates etc,38,19.50453,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Raja montagui,Sharks rays skates etc,38,1042.41888,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Raja undulata,Sharks rays skates etc,38,0.10104,NA,Raja,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Rajidae,Sharks rays skates etc,38,32268.40372,NA,NA,NA,NA,NA,NA,NA
Rajiformes,Sharks rays skates etc,38,157728.46647,NA,NA,NA,NA,NA,NA,NA
Rapana,Abalones winkles conchs,52,28128.21941,NA,NA,NA,NA,NA,NA,NA
Rastrelliger,Tunas bonitos billfishes,36,161082.48376,NA,NA,NA,NA,NA,NA,NA
Rastrelliger brachysoma,Tunas bonitos billfishes,36,1198884.38603,NA,Rastrelliger,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Rastrelliger kanagurta,Tunas bonitos billfishes,36,494262.19085,NA,Rastrelliger,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Reinhardtius hippoglossoides,Flounders halibuts soles,31,145182.24479,Greenland turbot,Reinhardtius,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Reinhardtius hippoglossoides,Flounders halibuts soles,31,145182.24479,Newfoundland turbot,Reinhardtius,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Reinhardtius hippoglossoides,Flounders halibuts soles,31,145182.24479,Turbot,Reinhardtius,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Rexea solandri,Mackerels snoeks cutlassfishes,37,1469.63152,NA,Rexea,NA,Gempylidae,Perciformes,Actinopterygii,Osteichthyes
Rhabdosargus globiceps,Redfishes basses congers,33,82.93588,NA,Rhabdosargus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Rhabdosargus haffara,Redfishes basses congers,33,3587.39413,NA,Rhabdosargus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Rhinobatidae,Sharks rays skates etc,38,1425.36968,NA,NA,NA,NA,NA,NA,NA
Rhinobatos,Sharks rays skates etc,38,1357.9357,NA,NA,NA,NA,NA,NA,NA
Rhinobatos planiceps,Sharks rays skates etc,38,98.22108,NA,NA,NA,NA,NA,NA,NA
Rhinochimaera atlantica,Sharks rays skates etc,38,0.10106,NA,Rhinochimaera,NA,Rhinochimaeridae,Chimaeriformes,Holocephali,Chondrichthyes
Rhomboplites aurorubens,Redfishes basses congers,33,3179.65764,NA,Rhomboplites,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Rhynchobatus australiae,Sharks rays skates etc,38,2521.16932,NA,Rhynchobatus,Rhynchobatinae,Rhinidae,Rhinopristiformes,Elasmobranchii,NA
Rhynchobatus djiddensis,Sharks rays skates etc,38,959.71293,NA,Rhynchobatus,Rhynchobatinae,Rhinidae,Rhinopristiformes,Elasmobranchii,NA
Ruditapes decussatus,Clams cockles arkshells,56,2105.37893,NA,NA,NA,NA,NA,NA,NA
Ruditapes philippinarum,Clams cockles arkshells,56,37287.39553,NA,NA,NA,NA,NA,NA,NA
Ruvettus pretiosus,Mackerels snoeks cutlassfishes,37,20514.47341,NA,Ruvettus,NA,Gempylidae,Perciformes,Actinopterygii,Osteichthyes
Salilota australis,Cods hakes haddocks,32,4123.15656,NA,Salilota,NA,Moridae,Gadiformes,Actinopterygii,Osteichthyes
Salmo,Salmons trouts smelts,23,91.12422,NA,NA,NA,NA,NA,NA,NA
Salmo salar,Salmons trouts smelts,23,2515.38852,Atlantic salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Bay salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Black salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Caplin-scull salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Common Atlantic salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Kippered salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Landlocked salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,N. Atlantic salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Outside salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Salmon peel,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Sea salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Sebago salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Silver salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo salar,Salmons trouts smelts,23,2515.38852,Spring salmon,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Salmo trutta trutta,Salmons trouts smelts,23,1161.22011,NA,NA,NA,NA,NA,NA,NA
Salmonidae,Salmons trouts smelts,23,7204.71829,NA,NA,NA,NA,NA,NA,NA
Salvelinus,Salmons trouts smelts,23,25.522,NA,NA,NA,NA,NA,NA,NA
Sarda chiliensis chiliensis,Tunas bonitos billfishes,36,219326.19368,NA,NA,NA,NA,NA,NA,NA
Sarda chiliensis lineolata,Tunas bonitos billfishes,36,1599.60886,NA,NA,NA,NA,NA,NA,NA
Sarda orientalis,Tunas bonitos billfishes,36,14325.72086,NA,Sarda,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Sarda sarda,Tunas bonitos billfishes,36,36131.59827,NA,Sarda,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Sardina pilchardus,Herrings sardines anchovies,35,1880996.34467,NA,Sardina,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella,Herrings sardines anchovies,35,1458738.98356,NA,NA,NA,NA,NA,NA,NA
Sardinella aurita,Herrings sardines anchovies,35,451433.57513,Round sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella aurita,Herrings sardines anchovies,35,451433.57513,Sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella aurita,Herrings sardines anchovies,35,451433.57513,Striped sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella brasiliensis,Herrings sardines anchovies,35,55110.55794,Brazilian sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella gibbosa,Herrings sardines anchovies,35,134553.57747,Fringescale sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella gibbosa,Herrings sardines anchovies,35,134553.57747,Gold stripe sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella gibbosa,Herrings sardines anchovies,35,134553.57747,Goldstipe sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella gibbosa,Herrings sardines anchovies,35,134553.57747,Goldstripe sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella lemuru,Herrings sardines anchovies,35,60673.8842,Bali sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella lemuru,Herrings sardines anchovies,35,60673.8842,Round sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella longiceps,Herrings sardines anchovies,35,748924.68251,Indian oil-sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella maderensis,Herrings sardines anchovies,35,220317.11947,Madeiran sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Sardinella zunasi,Herrings sardines anchovies,35,1727.74946,Japanese sardinella,Sardinella,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
